AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DD,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM,
58.46,75.64,103.24,82.72,24.34,119.08,63.93,46.28,151.75,76.87,191.28,23.89,86.63,52.49,40.46,99.82,109.31,46.32,34.36,31.17,27.78,78.02,81.11,65.63,94.74,46.31,50.36,44.34,74.59,90.3,
59.78,74.62,101.47,82.48,24.32,119.15,63.26,46.2,150.92,77.31,191.5,23.72,86.57,52.8,40.37,99.93,108.73,46.55,33.94,31.31,27.7,78.44,79.82,65.27,93.8,46.31,50.63,44.46,74.71,90.64,
60.11,74.58,102.89,81.85,24.59,119.08,63.61,46.18,150.43,77.73,193.25,23.76,86.78,52.77,40.49,100.35,109.45,46.55,34.01,31.43,27.65,78.57,80.4,65.54,94.73,46.76,51.01,44.12,74.76,90.69,
59.63,76.31,104.2,82.14,24.57,120.51,63.82,46.55,153.24,78.29,194.93,24.06,87.87,53.99,40.52,99.86,111.54,47.16,34.21,31.82,27.97,78.34,81.34,66.17,96.53,47.7,51.3,44.25,75.21,91.57,
59.29,77.04,104.37,83.2,24.63,121.24,64.71,47.12,153.81,79.22,194.98,23.19,88.59,54.7,40.54,99.88,112.13,47.41,34.33,31.86,28.13,78.76,81.76,67.56,96.98,47.03,51.17,45.33,76.71,92.25,
60.34,77.61,104.68,85.33,25.16,123.27,64.94,48.45,156.94,79.7,191.3,23.14,88.88,54.89,40.83,99.99,113.35,47.62,34.35,31.97,28.35,79.57,82.05,67.97,98.02,46.8,50.96,46.45,77.03,93.34,
60.1,76.33,105.5,84.96,25.41,122.9,64.91,48.12,155.83,79.4,192.25,23.25,89.24,54.83,40.68,99.98,113.43,47.96,34.7,31.8,28.44,79.8,81.57,67.69,97.79,46.68,50.54,47.85,76.77,92.82,
61.04,76.94,106.88,86.7,25.87,123.77,66.58,48.7,157.71,79.86,192.8,23.99,89.67,55.14,41.03,100.79,114.53,48.31,35.69,31.86,28.77,80.77,82.7,68.36,99.69,47.49,51.21,48.7,77.63,93.27,
60.93,78.33,101.87,87.17,25.94,124.06,66.98,48.59,160.11,80.54,192.07,23.9,89.99,54.97,41.03,101.58,115.14,48.54,35.67,31.84,28.81,81.55,84.18,68,99.83,47.68,50.41,48.76,77.63,93.4,
61.06,77.85,105.66,87.4,25.93,124.68,65.93,48.99,163,80.4,194,23.94,90.4,54.89,41.01,100.75,114.85,48.52,36.17,31.68,28.79,81.51,83.28,67.62,100.24,47.56,49.96,49.27,77.03,93.25,
61.46,78.27,104.23,88.17,25.71,124.12,65.03,48.38,160.24,80.22,193.85,24.25,90.4,55.01,40.23,100.88,114.34,48.23,36.27,31.35,28.68,80.97,83.23,66.91,99.99,47.35,50.28,49.26,77.37,93.3,
61.47,76.8,104.79,86.67,25.72,124.35,65.36,49.46,161.5,80.44,194.55,24.15,90.13,55.27,40.84,100.1,114.64,48.13,35.74,31.67,28.68,80.09,83.99,66.23,100.86,47.41,50.74,49.73,77.2,93.46,
61.68,74.01,107.63,85.72,25.86,125.47,65.82,49.25,164.06,80.02,197.99,23.24,90.17,56.37,40.81,100.18,115.48,47.4,35.44,31.66,28.49,80.3,84.53,70.55,101.34,47.75,49.97,50.54,77.34,94.38,
60.71,74.06,106.96,85.65,25.82,126.91,65.16,49.37,164.36,79.89,193.54,23.04,92.23,56.16,41.09,100.27,116.19,47.79,31.4,31.68,29.09,81.37,84.66,71.45,102.48,47.48,49.95,50.61,78.08,95.17,
60.9,74.72,106.86,86,25.72,127.03,64.4,49.26,166.25,80,194.09,22.77,92.28,56.56,40.84,97.58,116.28,47.72,32.01,31.65,29.35,81.22,85.43,72.18,102.11,47.81,50.27,51.26,77.87,94.83,
59.86,74.41,107.79,85.52,25.56,127.26,64.45,49.2,166.26,80.19,194.98,22.75,92.42,56.67,40.96,96.76,116.75,47.93,31.82,31.6,29.42,80.95,82.21,72.69,105.12,47.15,50.36,51.01,78.55,95.2,
62.93,75.36,106.95,83.44,25.59,126.37,64.64,48.95,165.04,80.27,196.61,22.93,92.36,56.63,40.86,96.66,116.33,47.77,31.96,31.32,29.28,80.27,82.18,72.53,104.99,46.69,50.38,51.08,78.23,94.99,
62.64,75.77,106.7,82.14,25.5,127.76,64.55,49.83,165.91,78.99,197.22,23.06,92.57,56.5,40.84,97.49,116.55,48.17,31.39,31.25,29.19,80.41,82.85,72.62,104.79,48.65,50.71,51.01,78.01,94.97,
63,75.34,105.6,82.06,25.5,127.56,64.98,49.42,165.26,78.74,197.35,23.26,92.83,56.05,40.64,98.03,116.91,48.49,31.62,31.27,29.37,80.39,83.6,72.21,104.97,48.3,51.02,50.82,78,94.79,
63.97,75.06,104.81,83.02,25.33,126.17,64.61,49.84,163.17,78.67,196.21,23.24,93.21,55.69,40.28,97.87,116.61,48.34,31.54,31.36,29.54,80.09,83.41,72.79,105.07,47.99,51.49,50.62,77.99,94.03,
64.76,75.19,105.73,83.19,25.67,125.78,64.18,49.93,162.43,78.6,196.01,23.38,93.17,55.33,40.32,98.37,116.84,48.05,31.85,31.43,29.67,80.44,83.39,72.27,105.57,47.86,50.42,50.01,77.89,93.81,
64.65,73.77,105.1,82.91,25.59,125.89,64.65,49.9,164.03,79.03,195.04,23.34,93.5,55.73,40.08,98.08,117.43,48.17,31.84,31.46,29.23,80.3,83.55,72.85,105.57,44.25,49.48,50.25,77.94,93.75,
65.24,75.63,106.7,84.44,25.89,126.44,65.36,50.41,167.49,78.64,195.81,23.2,93.77,56.54,40.57,99,118.41,48.58,31.67,32.99,29.11,81.64,84.36,73.16,107.18,44.79,50.01,51.13,78.22,92.73,
66.08,75.69,107.9,84.3,26.19,124.95,66.51,51.58,167.62,80.23,195.16,23.22,94.39,56.49,40.22,99.2,118.26,48.54,31.89,33.15,29.37,81.29,84,72.26,107.77,46,50.25,50.98,78.75,91.95,
67.06,75.93,107.5,83.56,26.31,123.99,66.02,51.95,168.32,79.66,195.5,22.92,93.8,56.1,40.29,99.31,117.92,48.53,31.7,33.2,29.19,81.4,83.15,73.34,106.64,46.14,50.21,50.96,78.77,91.59,
66.46,75.81,107.04,82.53,26.21,123.14,67.05,51.35,164.78,80.05,190.99,22.8,93.81,55.49,40.37,98.69,117.5,48.44,31.58,33.27,29.34,81.74,82.36,73.24,105.2,45.72,50.09,50.24,77.87,91.47,
66.43,75.14,106.42,82.43,26.12,123.33,65.91,51.68,163.45,78.83,188.56,22.7,93.66,55.3,40.15,98.33,117.83,48.55,32.06,32.82,29.26,81.96,81.86,72.92,106.03,45.35,49.93,49.69,77.37,91.34,
65.86,76.19,105.84,83.96,26.26,123.07,65.75,52.56,162.84,80.04,187.93,22.45,93.34,54.83,40.2,98.04,118.68,48.47,32.89,33.03,29.13,82.17,82.03,73.18,106.26,45.2,49.62,49.89,77.25,91.78,
64.92,75.5,105.33,84.51,26.05,122.5,64.73,54.17,162.13,78.97,187.82,22.51,92.36,54.52,40.16,97.62,118.31,48.39,32.7,33.16,29.21,81.64,82.1,72.93,105.62,44.95,49.32,49.61,76.9,90.72,
66.77,75.49,104.24,86.32,26.34,121.8,63.93,53.37,161.69,79.2,189.09,22.64,92,54.09,39.83,97.04,118.38,48.47,32.87,33.26,29.19,81.62,82.32,72.39,105.54,44.94,49.65,50.19,77.08,89.89,
69.94,76.23,106.23,86.57,26.32,122.5,63.98,53.94,163.71,79.44,188.42,22.52,93.01,54.29,39.65,96.45,118.67,48.43,32.23,32.91,29.27,81.66,81.94,73.35,106.8,44.81,49.15,50.54,76.86,89.4,
71.21,75.88,104.16,85.82,26.38,122.05,63.96,53.76,163.34,77.44,187.53,22.57,90.7,54.15,39.53,96.11,117.62,48.57,32.35,32.17,29.03,81.25,82.18,72.49,105.06,44.59,48.89,50.46,76.4,88.95,
71.13,74.88,102.73,85.86,24.49,120.25,62.38,52.91,160.75,75.14,185.79,22.03,89.55,53.29,39.09,95.39,115.85,47.97,31.79,31.75,28.8,80.48,81.07,71.4,102.99,43.48,48.54,49.36,74.41,88.16,
71.76,75.17,103.47,85.16,24.27,119.88,62.17,52.53,160.66,75.38,185.34,21.92,89.37,53.29,39.05,95.03,115.9,47.7,31.8,31.83,28.37,79.9,81.1,71.43,103.08,43.28,47.71,48.84,74.11,87.91,
72.53,74.34,104.72,84.2,24.27,118.66,61.83,52.16,158.63,75.21,184.23,22.28,90.45,51.83,38.78,95.48,115.61,47.58,31.39,32.35,28.46,79.59,80.23,71.71,102.63,43.75,47.5,48.52,73.58,86.92,
71.58,74.27,104.63,83.86,24.32,118.29,61.88,52.62,159.56,74.29,184.56,22.52,89.73,52.12,38.65,95.5,115.42,47.56,31.62,32.32,28.53,79.53,80.27,72.46,102.4,43.31,47.91,48.76,73.23,86.83,
71.77,73.44,103.91,82.94,24.07,117.7,61.14,52.89,157.11,73.73,184.86,22.17,88.8,51.63,38.28,95.11,113.42,47.46,31.61,32.07,28.24,79.38,79.42,71.85,101.7,44.6,47.27,48.42,73.55,86.42,
71.85,73.86,105.14,84.17,24.01,118.29,61.64,52.96,159.41,74,185.19,22.26,88.26,52.21,38.31,95.46,114.67,47.81,32.39,32.43,28.16,79.77,80.55,71.97,102.96,44.73,47.02,48.59,73.46,86.98,
71.57,73.65,105.48,83.89,23.86,119.53,61.73,55.17,158.65,73.89,185.42,22.44,88.41,52.32,38.52,95.13,114.4,47.73,34.75,32.1,28.34,80.01,80.19,72.54,102.8,44.78,47.61,48.79,73.44,87.52,
71.85,73.61,105.53,83.56,23.83,118.84,61.35,55.04,157.9,75.43,184.74,22.28,87.53,51.8,38.12,95.31,114.33,47.62,34.15,31.96,28.02,78.54,80.12,72.38,102.3,43.75,46.94,48.82,73.03,87.09,
69.8,71.91,103.21,82.7,23.49,118.81,60.69,53.49,153.23,74.12,182.74,22.19,86.17,50.6,38.15,94.84,112.73,47.11,33.26,31.41,28,77.97,79.74,71.52,99.94,43.54,46.95,47.25,72.86,86.82,
70.13,72.01,103.27,82.45,23.45,121.81,60.81,53.33,152.97,75.03,182.16,22.29,86.53,50.58,38.35,96.08,113,47.09,33.02,31.69,28.21,76.85,79.89,71.54,99.98,43.8,46.56,47.07,72.38,88.84,
70.24,72.22,104.93,82.53,23.45,120.37,61.08,53.43,153.63,75.05,182.64,22.06,86.57,50.7,38.1,94.86,113.32,47.1,33.55,31.74,28.1,77.31,80.25,72.44,100.46,43.84,47.82,47.58,72.43,87.27,
69.6,71.91,103.92,82.54,23.31,120.43,60.83,53.26,152.13,74.49,182.27,21.98,86.41,50.53,38.18,94.36,113.58,47.29,33.4,31.41,28.21,77.89,79.9,71.74,100.1,43.61,47.38,48.07,72.98,87.16,
69.8,72.43,105.01,82.51,23.48,120.55,60.93,53.32,154.76,73.9,183.96,22.07,86.42,51.13,37.9,94.52,113.22,47.21,31.88,32.15,28.01,77.75,80.57,72.56,102.66,44.26,46.01,48.74,72.68,87.15,
71.24,73.14,106.37,83.54,23.77,120.86,61.11,53.8,155.74,74.14,183.13,22.64,86.9,51.87,38.54,95.16,114.55,47.68,31.2,32.57,28.37,77.49,81.07,73.35,103.36,44.05,46.78,49.49,72.91,87.76,
70.75,73.8,106.65,82.95,23.69,121.37,61.3,54.7,156.17,72.99,184.15,22.6,87.04,52.11,38.24,95.66,114.87,47.51,31.24,32.69,28.27,77.14,80.66,74.04,103.68,44.05,46.64,50.19,72.67,87.35,
71.17,73.35,106.07,83.39,23.55,121.21,61.39,54.91,156.66,72.7,183.03,22.67,87.16,52.56,38.35,96.26,115.04,47.49,31.15,32.49,28.28,77.15,80.49,74.06,103.23,44.17,46.34,49.46,72.59,87.25,
